Sample	group
HHM19	HHM
HHM20	HHM
HHM21	HHM
HHM22	HHM
HHM23	HHM
HHM24	HHM
HHM25	HHM
HHM26	HHM
HHM27	HHM
HHM28	HHM
HHM29	HHM
HHM30	HHM
HHM31	HHM
HHM32	HHM
HHM33	HHM
HHM34	HHM
HHM35	HHM
HHM36	HHM
HHM37	HHM
HHM38	HHM
HHM39	HHM
HHM40	HHM
HHM41	HHM
HHM42	HHM
HHM43	HHM
HHM44	HHM
HSL185	HSL
HSL186	HSL
HSL187	HSL
HSL188	HSL
HSL189	HSL
HSL190	HSL
HSL191	HSL
HSL192	HSL
HSL193	HSL
HSL194	HSL
HSL195	HSL
HSL196	HSL
HSL197	HSL
HSL198	HSL
HSL199	HSL
HSL200	HSL
HSL201	HSL
HSL202	HSL
HSL203	HSL
HSL204	HSL
HSL205	HSL
HSL206	HSL
HSL207	HSL
HSL208	HSL
HSL209	HSL
HSL210	HSL
HSL211	HSL
HSL212	HSL
HSL213	HSL
HSL214	HSL
HSL215	HSL
HSL216	HSL
