	HHM	HSL	MeanDecreaseAccuracy	MeanDecreaseGini
ASV_805	-0.000411111111111111	0.00155503663003663	0.00074873686386003	0.173646871050381
ASV_3669	0.00140808080808081	0.00253351648351648	0.00218328890407838	0.172627879932989
ASV_939	0.00153196248196248	0.00166190476190476	0.00164211180124224	0.167446678799684
ASV_1828	0.00374816294816295	0.00068975468975469	0.00209828796590407	0.167295775356218
ASV_1072	0.00142424242424242	0.00101764705882353	0.00116298277663468	0.16477806797034
ASV_3024	0.00242496392496392	0.000548096348096348	0.00159496567505721	0.158749254158571
ASV_2367	0.00380093795093795	0.00198773971126912	0.00274321114341306	0.156249564294466
ASV_1574	0.000903030303030303	0.00274233821733822	0.00168420596946913	0.13617817822843
ASV_595	0.00064040404040404	0.000767676767676768	0.000640625628241727	0.135996388013172
ASV_523	0.000988455988455989	0.000394250194250194	0.000671861471861472	0.133634160271647
ASV_120	0.000892857142857143	0.00172014652014652	0.00147807531305983	0.131741706686677
ASV_269	0.00226495726495726	5e-04	0.00116813344296182	0.125924682900612
ASV_1810	0.000718181818181818	-0.000188694638694639	0.00018269157742842	0.124590096176947
ASV_265	0.00108333333333333	0.00141222829458124	0.00122114241381976	0.121921655734928
ASV_905	0.000300865800865801	6.94444444444444e-05	0.000188631658196876	0.115475657280485
ASV_186	0.000878787878787879	0.000522930578193736	0.000841309300920285	0.115362204302984
ASV_4452	0.00124935064935065	0.00058010878010878	0.000921240601503759	0.11183268184217
ASV_2557	0.0010538961038961	0.000763636363636364	0.000746910094736182	0.111641785313151
ASV_218	0.000345238095238095	0.000333333333333333	0.000405494505494505	0.107935084238822
ASV_1260	-0.000222222222222222	0.000364835164835165	0.000104761904761905	0.103997562188865
ASV_1646	0.000116666666666667	0.000561904761904762	0.000421245421245421	0.102295139492425
ASV_2500	0.00121587301587302	0.00103186813186813	0.00103259369069034	0.10148638682946
ASV_1181	-0.00125	-8.18181818181819e-05	-0.00059667350193666	0.0964300483457904
