#OTUID	HHM19	HHM20	HHM21	HHM22	HHM23	HHM24	HHM25	HHM26	HHM27	HHM28	HHM29	HHM30	HHM31	HHM32	HHM33	HHM34	HHM35	HHM36	HHM37	HHM38	HHM39	HHM40	HHM41	HHM42	HHM43	HHM44	HSL185	HSL186	HSL187	HSL188	HSL189	HSL190	HSL191	HSL192	HSL193	HSL194	HSL195	HSL196	HSL197	HSL198	HSL199	HSL200	HSL201	HSL202	HSL203	HSL204	HSL205	HSL206	HSL207	HSL208	HSL209	HSL210	HSL211	HSL212	HSL213	HSL214	HSL215	HSL216
ASV_1	958	1183	1393	352	91	223	706	130	3	22	22	3	3357	1158	3214	2063	2	2	4	684	602	721	391	191	236	235	406	628	1387	741	860	841	437	496	591	5	35	4	62	7	36	18	1	0	5057	3720	2527	5181	2199	4	17	10	18	13	498	1434	113	284
ASV_2	1773	1067	431	626	403	466	351	419	146	281	129	295	994	1389	1142	1177	382	174	418	970	1418	336	406	1323	822	953	705	468	392	504	283	779	843	782	1230	159	229	191	303	53	191	128	448	67	522	378	514	512	1180	105	145	113	197	185	2226	940	1066	805
ASV_3	329	312	765	504	489	364	875	231	47	132	72	58	1002	660	855	857	56	5	132	1046	1300	796	569	84	85	359	729	492	764	347	600	1566	910	824	1081	195	182	184	88	223	181	148	138	7	503	576	527	632	797	285	192	303	147	154	1128	1265	34	135
ASV_4	110	209	755	670	1052	465	160	423	0	29	2	1	758	403	798	758	25	0	28	568	1010	794	868	165	142	407	140	1067	841	967	506	493	269	335	223	21	47	21	3	205	137	76	16	2	1304	1153	1256	1503	813	169	124	194	35	20	1568	900	26	116
ASV_5	435	736	586	536	684	366	231	353	229	563	402	214	707	421	649	578	432	35	377	500	503	397	524	123	119	259	225	671	804	643	511	449	254	198	304	745	514	578	376	179	187	199	341	37	545	417	471	662	521	233	309	256	473	476	793	468	42	106
ASV_7	468	772	818	914	1015	671	102	514	7	199	25	13	516	293	502	467	217	29	268	345	300	256	797	373	562	541	144	966	997	885	717	252	99	132	158	151	192	131	35	376	419	375	169	11	550	415	488	635	414	407	486	457	165	156	381	336	262	328
ASV_6	1175	557	247	26	70	204	15	144	59	913	22	76	153	536	82	449	171	110	112	99	522	24	27	270	139	169	33	48	24	54	11	89	123	84	40	2551	1070	1859	67	34	7	2	211	56	238	158	242	195	337	14	6	6	1535	2089	218	54	208	65
ASV_8	0	0	3	1	4	15	0	13	3	635	2	1	12	17	11	37	0	1	0	0	0	2	4	0	0	2	0	13	6	6	2	1	1	0	1	5352	999	3825	6	4	0	1	2	0	30	34	33	20	29	0	0	0	1903	1980	1	0	0	0
ASV_9	252	143	41	22	24	31	127	16	745	33	733	649	311	568	321	622	1154	665	995	152	470	58	9	578	303	32	322	17	22	19	12	114	321	429	238	177	28	131	437	4	9	8	950	290	106	83	162	120	386	13	10	10	50	81	568	159	568	90
ASV_11	562	436	4	8	17	7	114	5	188	6	317	336	106	58	149	137	876	546	833	14	34	20	14	1764	870	40	298	9	4	5	3	119	203	239	157	0	1	11	275	0	1	1	1133	346	169	146	192	184	133	1	0	1	4	3	35	43	1147	1049
ASV_10	227	217	313	537	359	769	60	620	0	54	1	1	21	10	21	32	77	71	68	128	194	62	236	1301	311	488	81	358	370	289	214	55	97	129	74	14	37	16	2	328	709	475	98	34	43	24	28	32	27	666	437	680	32	49	50	116	786	389
