	GT1	GT10	GT11	GT12	GT13	GT14	GT15	GT16	GT17	GT18	GT2	GT3	GT4	GT5	GT6	GT7	GT8	GT9	HHM1	HHM10	HHM11	HHM12	HHM13	HHM14	HHM15	HHM16	HHM17	HHM18	HHM2	HHM3	HHM4	HHM5	HHM6	HHM7	HHM8	HHM9
ASV_1	15	1	0	35	365	34	0	6	0	0	0	0	0	0	0	0	3	37	0	2	0	0	0	20	0	6	35	2436	0	0	0	6020	0	0	0	26
ASV_2	56	469	0	472	1826	265	0	56	0	0	0	0	0	323	0	0	976	700	0	427	0	0	0	44	0	612	435	24	0	0	0	27	0	0	0	323
ASV_4	432	240	0	553	439	409	0	930	0	0	0	0	0	435	0	0	278	1006	0	222	0	0	0	354	0	593	348	333	0	0	0	71	0	0	0	386
ASV_3	224	254	0	493	175	362	0	1100	0	0	0	0	0	888	0	0	222	947	0	189	0	0	0	186	0	488	283	331	0	0	0	68	0	0	0	614
ASV_5	116	209	0	439	870	336	0	668	0	0	0	0	0	583	0	0	372	1460	0	288	0	0	0	83	0	456	397	165	0	0	0	37	0	0	0	209
ASV_6	0	0	0	1	1428	181	0	25	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	2	0	7	1089	320	0	0	0	2168	0	0	0	6
ASV_10	4	26	0	110	424	295	0	48	0	0	0	0	0	305	0	0	499	676	0	405	0	0	0	1	0	165	1239	6	0	0	0	5	0	0	0	18
ASV_9	932	19	0	255	54	94	0	63	0	0	0	0	0	51	0	0	31	227	0	26	0	0	0	420	0	219	287	1145	0	0	0	53	0	0	0	213
ASV_13	0	24	0	262	2180	139	0	26	0	0	0	0	0	44	0	0	34	397	0	39	0	0	0	1	0	114	479	1	0	0	0	1	0	0	0	5
ASV_191	165	291	0	300	584	445	0	44	0	0	0	0	0	214	0	0	332	273	0	119	0	0	0	71	0	201	336	134	0	0	0	90	0	0	0	67
ASV_19	10	25	0	201	618	220	0	34	0	0	0	0	0	303	0	0	276	552	0	383	0	0	0	19	0	306	345	29	0	0	0	69	0	0	0	17
ASV_186	236	15	0	402	59	44	0	27	0	0	0	0	0	37	0	0	15	218	0	17	0	0	0	120	0	393	311	602	0	0	0	208	0	0	0	600
ASV_5525	142	81	0	257	148	131	0	353	0	0	0	0	0	121	0	0	104	451	0	28	0	0	0	74	0	192	192	249	0	0	0	143	0	0	0	501
ASV_17	745	24	0	107	38	60	0	81	0	0	0	0	0	30	0	0	42	193	0	25	0	0	0	330	0	68	150	564	0	0	0	106	0	0	0	598
ASV_24	10	1	0	630	1549	102	0	20	0	0	0	0	0	6	0	0	2	629	0	4	0	0	0	5	0	98	36	35	0	0	0	0	0	0	0	5
ASV_28	25	69	0	388	350	407	0	24	0	0	0	0	0	220	0	0	257	321	0	251	0	0	0	28	0	188	224	52	0	0	0	59	0	0	0	33
ASV_32	343	73	0	154	41	47	0	595	0	0	0	0	0	146	0	0	46	182	0	24	0	0	0	344	0	171	55	191	0	0	0	34	0	0	0	358
ASV_35	347	74	0	208	52	149	0	114	0	0	0	0	0	240	0	0	59	136	0	48	0	0	0	239	0	425	133	294	0	0	0	106	0	0	0	166
ASV_31	310	97	0	187	29	102	0	331	0	0	0	0	0	193	0	0	52	194	0	44	0	0	0	293	0	221	75	234	0	0	0	66	0	0	0	274
ASV_27	51	12	0	394	192	220	0	52	0	0	0	0	0	183	0	0	127	355	0	144	0	0	0	39	0	218	534	91	0	0	0	38	0	0	0	11
ASV_30	4	103	0	126	460	111	0	86	0	0	0	0	0	303	0	0	269	521	0	149	0	0	0	2	0	185	272	8	0	0	0	3	0	0	0	31
ASV_38	11	12	0	128	461	149	0	19	0	0	0	0	0	270	0	0	315	243	0	288	0	0	0	6	0	248	218	12	0	0	0	46	0	0	0	15
ASV_40	196	116	0	167	103	94	0	504	0	0	0	0	0	242	0	0	64	209	0	61	0	0	0	154	0	212	65	121	0	0	0	14	0	0	0	119
ASV_36	1	3	0	81	1119	169	0	19	0	0	0	0	0	1	0	0	5	178	0	3	0	0	0	2	0	13	176	105	0	0	0	434	0	0	0	2
ASV_44	306	28	0	299	23	167	0	78	0	0	0	0	0	32	0	0	4	275	0	21	0	0	0	323	0	218	32	207	0	0	0	81	0	0	0	96
ASV_74	176	80	0	268	37	115	0	49	0	0	0	0	0	352	0	0	122	80	0	91	0	0	0	143	0	168	161	165	0	0	0	80	0	0	0	80
ASV_52	262	63	0	109	31	73	0	478	0	0	0	0	0	144	0	0	54	89	0	32	0	0	0	254	0	145	57	131	0	0	0	23	0	0	0	98
ASV_45	84	165	0	202	280	266	0	21	0	0	0	0	0	100	0	0	176	97	0	61	0	0	0	29	0	107	140	113	0	0	0	53	0	0	0	49
ASV_51	0	11	0	148	300	111	0	21	0	0	0	0	0	145	0	0	108	181	0	270	0	0	0	3	0	483	90	6	0	0	0	5	0	0	0	0
ASV_50	5	19	0	131	251	179	0	26	0	0	0	0	0	141	0	0	142	419	0	133	0	0	0	9	0	115	223	19	0	0	0	8	0	0	0	13
ASV_47	427	15	0	70	26	47	0	70	0	0	0	0	0	28	0	0	41	111	0	15	0	0	0	180	0	91	132	391	0	0	0	38	0	0	0	149
ASV_55	231	30	0	57	39	93	0	124	0	0	0	0	0	33	0	0	61	198	0	21	0	0	0	145	0	138	98	146	0	0	0	124	0	0	0	285
ASV_62	2	573	0	116	245	70	0	20	0	0	0	0	0	63	0	0	182	152	0	70	0	0	0	4	0	124	148	9	0	0	0	2	0	0	0	11
ASV_54	90	10	0	500	183	119	0	30	0	0	0	0	0	111	0	0	57	121	0	42	0	0	0	59	0	132	95	85	0	0	0	118	0	0	0	29
ASV_56	11	52	0	311	152	148	0	98	0	0	0	0	0	221	0	0	83	204	0	152	0	0	0	12	0	132	81	43	0	0	0	26	0	0	0	7
ASV_58	240	37	0	101	53	48	0	256	0	0	0	0	0	63	0	0	32	119	0	24	0	0	0	181	0	95	53	114	0	0	0	50	0	0	0	259
ASV_72	219	88	0	87	7	75	0	122	0	0	0	0	0	88	0	0	117	29	0	44	0	0	0	160	0	104	25	179	0	0	0	56	0	0	0	320
ASV_64	11	59	0	179	324	105	0	73	0	0	0	0	0	215	0	0	81	209	0	116	0	0	0	10	0	101	113	39	0	0	0	12	0	0	0	53
ASV_189	124	117	0	178	20	32	0	197	0	0	0	0	0	290	0	0	61	24	0	26	0	0	0	114	0	258	31	64	0	0	0	37	0	0	0	112
ASV_71	67	2	0	152	681	547	0	3	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	10	0	165	8	4	0	0	0	3	0	0	0	3
ASV_68	209	36	0	110	29	153	0	37	0	0	0	0	0	98	0	0	77	68	0	43	0	0	0	131	0	214	75	210	0	0	0	133	0	0	0	33
ASV_61	106	7	0	216	76	138	0	28	0	0	0	0	0	69	0	0	58	130	0	48	0	0	0	96	0	118	286	184	0	0	0	71	0	0	0	15
ASV_305	253	96	0	124	24	153	0	89	0	0	0	0	0	77	0	0	72	86	0	38	0	0	0	130	0	226	114	63	0	0	0	26	0	0	0	74
ASV_59	84	101	0	302	5	28	0	80	0	0	0	0	0	438	0	0	93	2	0	228	0	0	0	94	0	79	11	54	0	0	0	8	0	0	0	30
ASV_75	219	41	0	142	39	110	0	185	0	0	0	0	0	92	0	0	52	83	0	62	0	0	0	127	0	119	61	162	0	0	0	37	0	0	0	100
ASV_76	32	21	0	174	91	149	0	49	0	0	0	0	0	189	0	0	87	168	0	106	0	0	0	23	0	226	178	54	0	0	0	57	0	0	0	7
